Date,Error Type,Error Detail
2018-01-02,dbService Error,STATUS_TRANSACTION_NOT_FOUND
2018-01-08,Failure in /secure/getuser/,STATUS_MISSING_PARAMETER_ERROR
2018-01-09,dbService Error,STATUS_TRANSACTION_NOT_FOUND
2018-01-11,dbService Error,STATUS_TRANSACTION_NOT_FOUND
2018-01-12,dbService Error,STATUS_TRANSACTION_NOT_FOUND
2018-01-16,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-01-20,OA4MP OIDC authz endpoint error,The client with identifier REDACTED has not been approved. Request rejected. Please contact your administrator.
2018-01-23,CILogon OIDC authz endpoint error,"The CILogon OIDC authorization endpoint received a request from an OIDC client, but at least one of the required parameters (redirect_uri) was missing."
2018-01-23,OA4MP OIDC authz endpoint error,The client with identifier REDACTED has not been approved. Request rejected. Please contact your administrator.
2018-01-23,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-01-24,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-01-25,dbService Error,STATUS_TRANSACTION_NOT_FOUND
2018-01-25,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-01-26,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-01-26,OA4MP OIDC authz endpoint error,Error parsing URI REDACTED
2018-01-29,OA4MP OIDC authz endpoint error,The client with identifier REDACTED cannot be found.  Is the value in the client config correct?
2018-01-29,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-01-29,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-01-29,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-01-30,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-01-31,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-01-31,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-01-31,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-01-31,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-01-31,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-01-31,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-01-31,OA4MP OIDC authz endpoint error,The client with identifier REDACTED cannot be found.  Is the value in the client config correct?
2018-01-31,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-01-31,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-01-31,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-02-02,Failure in /secure/getuser/,STATUS_INTERNAL_ERROR
2018-02-02,Failure in /secure/getuser/,STATUS_MISSING_PARAMETER_ERROR
2018-02-05,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-02-06,dbService Error,STATUS_TRANSACTION_NOT_FOUND
2018-02-07,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-02-07,OA4MP OIDC authz endpoint error,no client identifier has been supplied. Have you registered this client with the service?
2018-02-07,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-02-07,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-02-07,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-02-07,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-02-07,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-02-07,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
