Date,Time,Error Type,Error Detail
2018-01-02,0934,dbService Error,STATUS_TRANSACTION_NOT_FOUND
2018-01-08,1512,Failure in /secure/getuser/,STATUS_MISSING_PARAMETER_ERROR
2018-01-08,1520,Failure in /secure/getuser/,STATUS_MISSING_PARAMETER_ERROR
2018-01-09,1917,dbService Error,STATUS_TRANSACTION_NOT_FOUND
2018-01-11,1537,dbService Error,STATUS_TRANSACTION_NOT_FOUND
2018-01-12,1002,dbService Error,STATUS_TRANSACTION_NOT_FOUND
2018-01-16,1007,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-01-20,2241,OA4MP OIDC authz endpoint error,The client with identifier REDACTED has not been approved. Request rejected. Please contact your administrator.
2018-01-23,1704,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-01-23,1705,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-01-23,2056,CILogon OIDC authz endpoint error,"The CILogon OIDC authorization endpoint received a request from an OIDC client, but at least one of the required parameters (redirect_uri) was missing."
2018-01-23,2057,CILogon OIDC authz endpoint error,"The CILogon OIDC authorization endpoint received a request from an OIDC client, but at least one of the required parameters (redirect_uri) was missing."
2018-01-23,2059,OA4MP OIDC authz endpoint error,The client with identifier REDACTED has not been approved. Request rejected. Please contact your administrator.
2018-01-23,2101,OA4MP OIDC authz endpoint error,The client with identifier REDACTED has not been approved. Request rejected. Please contact your administrator.
2018-01-24,0950,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-01-24,0950-2,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-01-25,0911,dbService Error,STATUS_TRANSACTION_NOT_FOUND
2018-01-25,1410,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-01-26,0942,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-01-26,1623,OA4MP OIDC authz endpoint error,Error parsing URI REDACTED
2018-01-26,1624,OA4MP OIDC authz endpoint error,Error parsing URI REDACTED
2018-01-26,1625,OA4MP OIDC authz endpoint error,Error parsing URI REDACTED
2018-01-26,1626,OA4MP OIDC authz endpoint error,Error parsing URI REDACTED
2018-01-29,1341,OA4MP OIDC authz endpoint error,The client with identifier REDACTED cannot be found.  Is the value in the client config correct?
2018-01-29,1610,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-01-29,1613,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-01-29,1614,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-01-29,1617,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-01-29,1619,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
2018-01-29,1632,OA4MP OIDC authz endpoint error,The given redirect REDACTED is not valid for this client
