Date,Shibboleth ErrorText
2018-01-04,SAML response reported an IdP error.
2018-01-09,SAML response reported an IdP error.
2018-01-11,None of the configured SessionInitiators handled the request.
2018-01-14,None of the configured SessionInitiators handled the request.
2018-01-17,None of the configured SessionInitiators handled the request.
2018-01-17,None of the configured SessionInitiators handled the request.
2018-01-17,SAML response reported an IdP error.
2018-01-18,Invalid HTTP method (GET).
2018-01-19,SAML response reported an IdP error.
2018-01-19,SAML response reported an IdP error.
2018-01-22,Invalid HTTP method (GET).
2018-01-22,Invalid HTTP method (GET).
2018-01-22,Invalid HTTP method (GET).
2018-01-25,Rejecting replayed message ID.
2018-01-25,Rejecting replayed message ID.
2018-01-25,Rejecting replayed message ID.
2018-01-25,Rejecting replayed message ID.
2018-01-29,None of the configured SessionInitiators handled the request.
2018-01-29,None of the configured SessionInitiators handled the request.
2018-01-29,None of the configured SessionInitiators handled the request.
2018-01-29,None of the configured SessionInitiators handled the request.
2018-01-29,None of the configured SessionInitiators handled the request.
2018-01-29,None of the configured SessionInitiators handled the request.
2018-01-29,Rejecting replayed message ID.
2018-01-29,Rejecting replayed message ID.
2018-01-29,Rejecting replayed message ID.
2018-01-29,SAML response reported an IdP error.
2018-01-29,SAML response reported an IdP error.
2018-02-07,None of the configured SessionInitiators handled the request.
2018-02-07,None of the configured SessionInitiators handled the request.
2018-02-07,None of the configured SessionInitiators handled the request.
2018-02-07,None of the configured SessionInitiators handled the request.
2018-02-13,Invalid HTTP method (GET).
2018-02-13,Invalid HTTP method (GET).
2018-02-18,SAML response reported an IdP error.
2018-02-18,SAML response reported an IdP error.
2018-02-18,SAML response reported an IdP error.
2018-02-18,SAML response reported an IdP error.
2018-02-18,SAML response reported an IdP error.
2018-02-18,SAML response reported an IdP error.
2018-02-20,Request missing SAMLart query string or form parameter.
2018-02-20,Request missing SAMLart query string or form parameter.
2018-02-22,None of the configured SessionInitiators handled the request.
2018-02-23,Invalid HTTP method (GET).
2018-02-23,Invalid HTTP method (GET).
2018-02-23,None of the configured SessionInitiators handled the request.
2018-02-23,None of the configured SessionInitiators handled the request.
2018-02-26,Invalid HTTP method (GET).
2018-02-26,Invalid HTTP method (GET).
2018-02-26,None of the configured SessionInitiators handled the request.
2018-02-28,"Message expired, was issued too long ago."
2018-03-05,None of the configured SessionInitiators handled the request.
2018-03-07,Invalid HTTP method (GET).
